prediction,ground_truth,filename
Comme indiqué dans les conditions particulières de mon contrat d'assurance,Comme indiqué dans les conditions particulières de mon contrat d'assurance,eval2011-0_0
"habitation n° DPUET36, je souhaite vous faire part de mon récent démenagement","habitation n° DPUET36, je souhaite vous faire part de mon récent déménagement",eval2011-0_1
Je tiens à vous assurer de ma satisfaction quant à la qualité de,Je tiens à vous assurer de ma satisfaction quant à la qualité de,eval2011-0_10
"service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,","service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,",eval2011-0_11
d'accepter l'expression de mes salutations distinguées.,d'accepter l'expression de mes salutations distinguées.,eval2011-0_12
"de mon domicile du 3 Rue Gambetta, 57000 ME17, en tate du 28 février","de mon domicile du 3 Rue Gambetta, 57000 METZ, en date du 28 février",eval2011-0_2
2007.,2007.,eval2011-0_3
Je souhaite donc que vous procédiez à la résiliation de mon contrat,Je souhaite donc que vous procédiez à la résiliation de mon contrat,eval2011-0_4
"d'assurance habitation concernant ce logement, comme stipulé dans les conditions","d'assurance habitation concernant ce logement, comme stipulé dans les conditions",eval2011-0_5
"gémérales du contrat. Je vous prie, par ailleurs, de me faire parvenir une","générales du contrat. Je vous prie, par ailleurs, de me faire parvenir une",eval2011-0_6
motification de résiliation dans les plus brefs délais et de procéder au remboursement,notification de résiliation dans les plus brefs délais et de procéder au remboursement,eval2011-0_7
de la part de cotisation correspondant à la période pour laquelle je ne suis,de la part de cotisation correspondant à la période pour laquelle je me suis,eval2011-0_8
plus garant,plus garant :,eval2011-0_9
"Mier, en sertant de chez moi, j'ai malencontreusement marchésur le chien de ma","Hier, en sortant de chez moi, j'ai malencontreusement marché sur le chien de ma",eval2011-10_0
"voisire. Celle-ci, tenant beaucoupài sonchien, a été porticulièrement affectée par l'accident","voisine. Celle-ci, tenant beaucoup à son chien, a été particulièrement affectée par l'accident",eval2011-10_1
et me demande un dédommagement de taille,et me demande un dédommagement de taille,eval2011-10_2
"Etant assuréechez vour depuis de nombreuses années, je saisque l'on peut compter","Etant assurée chez vous depuis de nombreuses années, je sais que l'on peut compter",eval2011-10_3
sur l'effiacité de vos sorvices. J'aurais i ci bessin que vous me couvriez au totre de,sur l'efficacité de vos services. J' aurais ici besoin que vous me couvriez au titre de,eval2011-10_4
la responsabilité civile.,la responsabilité civile.,eval2011-10_5
"Dans l'attente de votre réponse,","Dans l'attente de votre réponse,",eval2011-10_6
Cordialement,Cordialement,eval2011-10_7
j'aimerais doubler mes prochaines commande de CD vierges de,J'aimerais doubler mes prochaines commandes de CD vierges de,eval2011-11_0
la part de votre aganisme.,la part de votre organisme.,eval2011-11_1
Je vous serais gé de me tenir au caurant de la posstalité,Je vous serais gré de me tenir au courant de la possibilité,eval2011-11_2
de cette commande.,de cette commande.,eval2011-11_3
"Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,","Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,",eval2011-11_4
l'expression de mes sentiments resectueux.,l'expression de mes sentiments respectueux.,eval2011-11_5
Ayant passé commande de 10 CD,Ayant passé commande de 10 CD,eval2011-12_0
"vierges ""verbation sur votre site interner","vierges ""Verbatim"" sur votre site internet",eval2011-12_1
le 13012007 et n'ayant toujons,le 13 01 2007 et n'ayant toujours,eval2011-12_2
pas de nouvelles de me commende,pas de nouvelles de ma commande,eval2011-12_3
e voudrais modifier avant l'expédition,Je voudrais modifier avant l'expédition,eval2011-12_4
le nombre de CDcommandés.,le nombre de CD - commandés -,eval2011-12_5
au lieu de 10 CD,au lieu de 10 CD,eval2011-12_6
J'en désire 20-CD,J'en désire 20 - CD,eval2011-12_7
Merci-,Merci -,eval2011-12_8
Je me permet de vous écrire afin d'obtenir de la,Je me permet de vous écrire afin d'obtenir de la,eval2011-13_0
documentation concernant vos contrts d'assurance vie.,documentation concernant vos contrats d'assurance vie.,eval2011-13_1
"En effet, mes priorités ont changé depuis la naissance","En effet, mes priorités ont changé depuis la naissance",eval2011-13_2
de mon enfant,de mon enfant.,eval2011-13_3
"Dans l'attente de votre réponse,","Dans l'attente de votre réponse,",eval2011-13_4
"Veuillez agréer, Madame, Monsieur, l'expression de","Veuillez agréer, Madame, Monsieur, l'expression de",eval2011-13_5
mes sentiments distingués.,mes sentiments distingués.,eval2011-13_6
Je vous remercie taut d'ab-orel pour l'efficacité mise en oeuvre par,Je vous remercie tout d'abord pour l'efficacité mise en oeuvre par,eval2011-14_0
"mon conseiller, M. Junida, au moment de l'ouverture de mon assurance","mon conseiller, M. Junida, au moment de l'ouverture de mon assurance",eval2011-14_1
habitation il y a 8 mois maintenant.,habitation il y a 8 mois maintenant.,eval2011-14_2
"Néaumoins, étant donnée ma nouvelle affectation professionnelle en région","Néanmoins, étant donnée ma nouvelle affectation professionnelle en région",eval2011-14_3
"Pravince. Alper-Côte d'Ajur, je dois natuvellement envisager un déménagement","Province-Alpes-Côte-d'Azur, je dois naturellement envisager un déménagement",eval2011-14_4
dans les plus brefs délais.,dans les plus brefs délais.,eval2011-14_5
C'est pourquoi je parte à votre connaissance ma volonté de résilier mon,C'est pourquoi je porte à votre connaissance ma volonté de résilier mon,eval2011-14_6
compte au bein de votre société d'assurance.,compte au sein de votre société d'assurance.,eval2011-14_7
"Dans l'attente d'un accusé de réception et de l'application de mon message,","Dans l'attente d'un accusé de réception et de l'application de mon message,",eval2011-14_8
"je vous prie d'agréer Madame, Monsieur, l'expression de mes sincères salutations.","je vous prie d'agréer Madame, Monsieur, l'expression de mes sincères salutations.",eval2011-14_9
Je vous prie de bien vouloir prendre acte de ma volonté de résilier à reception de la présente,Je vous prie de bien vouloir prendre acte de ma volonté de résilier à reception de la présente,eval2011-15_0
le contrat d'assurance habitation souscrit pour ma maison pour caure de vente de ce bien,le contrat d'assurance habitation souscrit pour ma maison pour cause de vente de ce bien,eval2011-15_1
immobilier.,immobilier.,eval2011-15_2
"Je vous serais reconnaissant de me faire parvenir, le plus rapidement possible, une notification","Je vous serais reconnaissant de me faire parvenir, le plus rapidement possible, une notification",eval2011-15_3
de résiliation.,de résiliation.,eval2011-15_4
"Dans cete attente, je vous prie d'agréer, Madame, Monsieur, l'assurance de mes sentiments","Dans cette attente, je vous prie d'agréer, Madame, Monsieur, l'assurance de mes sentiments",eval2011-15_5
distingués.,distingués.,eval2011-15_6
Cordialement,Cordialement,eval2011-15_7
Je soussignée MATEI Adèle vous recontacte suite à un courrier,Je soussignée MATEI Adèle vous recontacte suite à un courrier,eval2011-16_0
resté sans réponse.,resté sans réponse.,eval2011-16_1
Je vous ai en effet contacté le mois dernier pour vous demander,Je vous ai en effet contacté le mois dernier pour vous demander,eval2011-16_2
des informations concernant les modalités de remboursement des,des informations concernant les modalités de remboursement des,eval2011-16_3
soins dentaires.,soins dentaires.,eval2011-16_4
Espérant que vous prendrez le temps de répondre à ma,Espérant que vous prendrez le temps de répondre à ma,eval2011-16_5
"requête, je vous prie d'agréer Madame, Monsieur, l'expression de mes","requête, je vous prie d'agréer Madame, Monsieur, l'expression de mes",eval2011-16_6
salutations distinguées.,salutations distinguées.,eval2011-16_7
Comme convenu lors de notre entretien télé.,Comme convenu lors de notre entretien télé-,eval2011-17_0
"phomique, je vous confirme ma demande par éauit","phonique, je vous confirme ma demande par écrit",eval2011-17_1
de résiliation d'assurance auto pour le motif suivant.,de résiliation d'assurance auto pour le motif suivant :,eval2011-17_2
"vente de mon véhicule, et à la date de la voute :","vente de mon véhicule, et à la date de la vente :",eval2011-17_3
12 mons 2007.,12 mars 2007.,eval2011-17_4
"Cordialement,","Cordialement,",eval2011-17_5
"Je tiens à faire une réclamation. En effet, je","Je tiens à faire une réclamation. En effet, je",eval2011-18_0
"ne suis pas du tout satisfaite, car il y a une","ne suis pas du tout satisfaite, car il y a une",eval2011-18_1
erreur dans le produit qu'on m'a livré.,erreur dans le produit qu'on m'a livré.,eval2011-18_2
Je l'ai commandé chez :,Je l'ai commandé chez :,eval2011-18_3
Baf télécon,Bof télécom,eval2011-18_4
Boulevard Naquet,Boulevard Naquet,eval2011-18_5
84 200 Carpentras.,84200 Carpentras,eval2011-18_6
"Par consiquent, je veus être remboursé dans les","Par conséquent, je veux être remboursé dans les",eval2011-18_7
meilleurs délai,meilleurs délai.,eval2011-18_8
Je vous prie d'agréer mes salutations les plus distingue,Je vous prie d'agréer mes salutations les plus distinguées,eval2011-18_9
Je souhaiterais recevoir de la documentation,Je souhaiterais recevoir de la documentation,eval2011-19_0
concernant les contrats d'assurance vie car je me marie pro.,concernant les contrats d'assurance vie car je me marie pro-,eval2011-19_1
chainsement et nous songeons à prendre quelques dispooiton.,chainement et nous songeons à prendre quelques dispositions,eval2011-19_2
"Dans cette attente, je vous prie d'agréer, Monsier,","Dans cette attente, je vous prie d'agréer, Monsieur",eval2011-19_3
mes très sincères salutations.,mes très sincères salutations.,eval2011-19_4
J'ai reçu hier ma facture concernant,J'ai reçu hier ma facture concernant,eval2011-1_0
mon compte et je ne comprends pas,mon compte et je ne comprends pas,eval2011-1_1
pourquoi le montant est si élevé.,pourquoi le montant est si élevé.,eval2011-1_2
ce n'est pas du taut ce qui était,Ce n'est pas du tout ce qui était,eval2011-1_3
prévu au départ.,prévu au départ.,eval2011-1_4
Meri de bien vouloir vérifier et de me,Merci de bien vouloir vérifier et de me,eval2011-1_5
tenir au courart aapidement.,tenir au courant rapidement.,eval2011-1_6
"Le 26 février 2007, je vous ai passé la commande suivante :","Le 26 février 2007, je vous ai passé la commande suivante :",eval2011-20_0
"pacte de 10 CD vierges, réf : DX3485, préx unétaire : 15,00 €,","pack de 10 CD vierges, réf : DX3485, prix unitaire : 15,00 €,",eval2011-20_1
"quantité 130, montant : 450,00 €","quantité : 30, montant : 450,00 €",eval2011-20_2
"La qualité de vos produits satisfaisant pleirement la clientèle, mon","La qualité de vos produits satisfaisant pleinement la clientèle, mon",eval2011-20_3
"stoctdisponible serévele nettement insuffisant à répondre ài la demande,","stock disponible se révèle nettement insuffisant à répondre à la demande,",eval2011-20_4
en constantesugmentation.,en constante augmentation.,eval2011-20_5
"C'est pourquoi, je souhaite modifier la quantité demandée : SoIt 60 pachs","C'est pourquoi, je souhaite modifier la quantité demandée : soit 60 packs",eval2011-20_6
du lien de 30.,au lieu de 30.,eval2011-20_7
"En vous remerciant par avance, veuillez agréer, Madame, Monsieur,","En vous remerciant par avance, veuillez agréer, Madame, Monsieur,",eval2011-20_8
l'expression de mes salutations lesmeilleures.,l'expression de mes salutations les meilleures.,eval2011-20_9
Je souhaiterai invertir la sonme de 1500 euros,Je souhaiterai investir la somme de 1500 euros,eval2011-21_0
en actions boursièrés.,en actions boursieres .,eval2011-21_1
Je vous laisse le soin de choisir le,Je vous laisse le soin de choisir le,eval2011-21_2
meilleur plrcement.,meilleur placement.,eval2011-21_3
Merci de realiser cette opération a u,Merci de realiser cette opération au,eval2011-21_4
plus vite.,plus vite.,eval2011-21_5
"Veuillez agréer, Monsieur, l'expression","Veuillez agréer, Monsieur, l'expression",eval2011-21_6
de mes sentiments distingués.,de mes sentiments distingués.,eval2011-21_7
Mon courrier en date du 15 fevrier est,Mon courrier en date du 15 fevrier est,eval2011-22_0
resté sans réponse de votre part.,resté sans réponse de votre part.,eval2011-22_1
Je vous envoie donc ce deuaième courrier,Je vous envoie donc ce deuxième courrier,eval2011-22_2
afin de vous demandez de résilier mon,afin de vous demander de résilier mon,eval2011-22_3
contrat EDF.,contrat EDF.,eval2011-22_4
Merci de faire le necessaire au plus,Merci de faire le necessaire au plus,eval2011-22_5
vite.,vite.,eval2011-22_6
Recevez mes sincères salutations.,Recevez mes sincères salutations.,eval2011-22_7
"Lors de ma dernière commande, j'avais choisi le modèle CH45-12 en","Lors de ma dernière commande, j'avais choisi le modèle CH45-12 en",eval2011-23_0
"bleu, mais le coloris ne convient pas. Je souhaite donc échanger cet article","bleu, mais le coloris ne convient pas. Je souhaite donc échanger cet article",eval2011-23_1
contre le même en blanc dont la référence est CH 45-16. Je vous retourne,contre le même en blanc dont la référence est CH 45-16. Je vous retourne,eval2011-23_2
ci-joint l'ancier article.,ci-joint l'ancien article.,eval2011-23_3
Merci de bien vouloir prendre en compte cette modification.,Merci de bien vouloir prendre en compte cette modification.,eval2011-23_4
"Je vous prie d'aggréer, Madame, Monsieur, mes meilleures salutations.","Je vous prie d' aggréer , Madame, Monsieur, mes meilleures salutations.",eval2011-23_5
"Suite à votre précédtente lettre, le délai annance pour la","Suite à votre précédente lettre, le délai annoncé pour la",eval2011-24_0
"livraison de Ma commande ne Me convient pas, aimair je souhaite","livraison de ma commande ne me convient pas, ainsi je souhaite",eval2011-24_1
mouler Ma commande duté du 18 Fevrier 2007.,annuler ma commande daté du 18 Fevrier 2007.,eval2011-24_2
Je vous prie d'agréer Mes sincères salutations.,Je vous prie d'agréer mes sincères salutations.,eval2011-24_3
Suite à notre conversation téléphonique concernant l'achat,Suite à notre conversation téléphonique concernant l'achat,eval2011-25_0
"d'actions, je vous informe que je suis en mesure d'investir","d'actions, je vous informe que je suis en mesure d'investir",eval2011-25_1
1500 Euros à répartir selon votre initiative.,1500 Euros à répartir selon votre initiative.,eval2011-25_2
"Je vous prie d'agréer Monsieur, Mes sincères salutations.","Je vous prie d'agréer Monsieur, mes sincères salutations.",eval2011-25_3
Je vous demande de bien vouloir modifier le,Je vous demande de bien vouloir modifier le,eval2011-26_0
montant des prélèvements effectués sur mon compte vers,montant des prélèvements effectués sur mon compte vers,eval2011-26_1
"mon PEL. A l'heure actuelle, ces prélèvements sant de 60","mon PEL. A l'heure actuelle, ces prélèvements sont de 60",eval2011-26_2
"euros, je souhaite les dimnuer pour qu'à la prochaine","euros, je souhaite les diminuer pour qu'à la prochaine",eval2011-26_3
échéance le montant versé sur mon PEL sait de 45 euros.,échéance le montant versé sur mon PEL soit de 45 euros.,eval2011-26_4
"Je vous prrie d'agréer madame, monsieurs, mes salutations","Je vous prie d'agréer madame, monsieur, mes salutations",eval2011-26_5
distinguées.,distinguées.,eval2011-26_6
"Je souhaiterais vous commander, par le brais de cette lebtre,","Je souhaiterais vous commander, par le biais de cette lettre,",eval2011-27_0
trois paires de chaussettes (référence CH45-12) que j'ai trouvé,trois paires de chaussettes (référence CH45-12) que j'ai trouvé,eval2011-27_1
dans votre dernier catalogue.,dans votre dernier catalogue.,eval2011-27_2
"Je vous joint donc mon règlement de 15,39 euros sans la","Je vous joint donc mon réglement de 15,39 euros sous la",eval2011-27_3
forme d'un chèque bancaire à tordre des 3 Srifes.,forme d'un chèque bancaire à l'ordre des 3 Suifs.,eval2011-27_4
"Vous remerciant de prendre en compte ma command, je vous prie,","Vous remerciant de prendre en compte ma commande, je vous prie,",eval2011-27_5
"Madame, Monsieur, de bien vouloir agréer l'expression des mes sincères","Madame, Monsieur, de bien vouloir agréer l'expression des mes sincères",eval2011-27_6
salutations.,salutations.,eval2011-27_7
Je me permets de vous relancer car je suis,Je me permets de vous relancer car je suis,eval2011-28_0
touours sans nouvelles de votre part concernant,toujours sans nouvelles de votre part concernant,eval2011-28_1
l'expertise de mon véhicule accidenté depuis,l'expertise de mon véhicule accidenté depuis,eval2011-28_2
pourtant le mois dernier.,pourtant le mois dernier.,eval2011-28_3
Je vous remercie de l'attention avec laquelle,Je vous remercie de l'attention avec laquelle,eval2011-28_4
vous traiterez ma demande et vous prie,vous traiterez ma demande et vous prie,eval2011-28_5
"d'agréer, Madame, Monsieur, mes salutations","d'agréer, Madame, Monsieur, mes salutations",eval2011-28_6
distinguées.,distinguées.,eval2011-28_7
Assurée dans votre compagnie depuis maintenant près de,Assurée dans votre compagnie depuis maintenant près de,eval2011-29_0
"douge ans, je me permets de vous adresser ce courrier pour uene","douze ans, je me permets de vous adresser ce courrier pour une",eval2011-29_1
"saus emploi à ce jour, j'attends beauceup du plan de","Sans emploi à ce jour, j'attends beaucoup du plan de",eval2011-29_10
restructuration. En attendant et au vu des circions.,restructuration. En attendant et au vu des circons-,eval2011-29_11
"tances actuelles, pourrais je régler mes échéances par","tances actuelles, pourrais-je régler mes échéances par",eval2011-29_12
"paiements différés, en les échelonnant sur 4 mois ?","paiements différés, en les échelonnant sur 4 mois ?",eval2011-29_13
D'avance je vous remercie de votre compréhensier,D'avance je vous remercie de votre compréhension,eval2011-29_14
et attends uuve confirmation de votre part.,et attends une confirmation de votre part.,eval2011-29_15
"Veuillez agréer, Madame, monsieur, l'expres-","Veuillez agréer, Madame, Monsieur, l'expres-",eval2011-29_16
sion de mes salutations les meilleures.,sion de mes salutations les meilleures.,eval2011-29_17
demande spériale d'échelonnement de mes échances.,demande spéciale d'échelonnement de mes échances.,eval2011-29_2
Je sais que cette procédure n'est pas présente dans les ilau-,Je sais que cette procédure n'est pas présente dans les clau-,eval2011-29_3
ses de votre contrat mais elle est mativée par une cause,ses de notre contrat mais elle est motivée par une cause,eval2011-29_4
aussi imprêvue que périble pour moi.,aussi imprévue que pénible pour moi.,eval2011-29_5
"En effet, techvicienne chez Airgus depuis trente ans, vous","En effet, technicienne chez AIRZUS depuis trente ans, nous",eval2011-29_6
N'êtes pas sans convaître les difficultés que traverse cet-,n'êtes pas sous connaître les difficultés que traverse cet-,eval2011-29_7
te entrreprise qui a licencié en mosse il y a quelques,te entreprise qui a licencié en masse il y a quelques,eval2011-29_8
"mois, hélos je faisais partie de ce plau de licerciement.",mais ; hélas je faisais partie de ce plan de licenciement.,eval2011-29_9
suite à la vente de mon véhicule assure chez vous,Suite à la vente de mon véhicule assuré chez vous,eval2011-2_0
"en dete 05/03/07, je vous demande de prendre","en date 05/03/07, je vous demande de prendre",eval2011-2_1
en compte ma demande de résiliation d'assurance,en compte ma demande de résiliation d'assurance,eval2011-2_2
automobile à date de réception de ce courrier.,automobile à date de réception de ce courrier.,eval2011-2_3
Mon numéro de référence client est le XQPCH09.,Mon numéro de référence client est le XQPCH09.,eval2011-2_4
"Je vous remercie par avance et vous prie, Monsieur,","Je vous remercie par avance et vous prie, Monsieur,",eval2011-2_5
d'agréer mes salutations distinguées.,d'agréer mes salutations distinguées.,eval2011-2_6
Je vous ai fait parvenir par courrier une commande,Je vous ai fait parvenir par courrier une commande,eval2011-30_0
(n° 900 11) daté du 8 mars 2007. Je voudrai modifier,(n° 900 AA) daté du 8 mars 2007. Je voudrai modifier,eval2011-30_1
les quantités d'un des produits commandés. Je ne désire plus,les quantités d'un des produits commandés. Je ne désire plus,eval2011-30_2
commander 1 mais 2 paires de chaussettes réf : 191978.,commander 1 mais 2 paires de chaussettes réf. 1919AB.,eval2011-30_3
Je vous joins un chèque d'un montant de Je pour le compté-,Je vous joins un chèque d'un montant de ¤5€¤ pour le complé-,eval2011-30_4
-ment de cette commande.,-ment de cette commande.,eval2011-30_5
Merci de prendre en compte ce changement.,Merci de prendre en compte ce changement.,eval2011-30_6
Dans l'attente de la réception de ma commande.,Dans l'attente de la réception de ma commande.,eval2011-30_7
"Je vous prie d'agréer, Madame, Monsieur, l'expression de","Je vous prie d'agréer, Madame, Monsieur, l'expression de",eval2011-30_8
mes salutations distinguées.,mes salutations distinguées.,eval2011-30_9
C'est avec beaucoup le plaiaur que lan detnier d'acas e.,C'est avec beaucoup de plaisir que l'an dernier j'ai reçu de votre,eval2011-31_0
part le catalogue de vos produits.,part le catalogue de vos produits.,eval2011-31_1
Aussi vous demanderais-je de bien vouloir me renvoyer le,Aussi vous demanderais-je de bien vouloir me renvoyer le,eval2011-31_2
Mouvea catalogue 2007 à l'adresse ci-de 5505.,nouveau Catalogue 2007 à l'adresse ci-dessus.,eval2011-31_3
"Cordialement,","Cordialement,",eval2011-31_4
Etant actuellement assurée par une compagnie différente de la votre,Etant actuellement assurée par une compagnie différente de la votre,eval2011-32_0
"CNAIF Assurances)et n'étant pas satis taite par celle-ci, j'aimerai","(NAIF Assurances) et n'étant pas satisfaite par celle-ci, j'aimerai",eval2011-32_1
me compterai dors parmives clients.,me compterai alors parmi vos clients.,eval2011-32_10
En espérant avoir cette documentation trèsprochainement,En esperant avoir cette documentation très prochainement,eval2011-32_11
avoir de la documentation cencernant les contrats d'assurance auto,avoir de la documentation concernant les contrats d'assurance auto,eval2011-32_2
que votre assurance propose.,que votre assurance propose.,eval2011-32_3
"En effet, mon actuelle compagnie d'assurance n'étant pas très","En effet, mon actuelle compagnie d'assurance n'étant pas très",eval2011-32_4
"pertermente dans les actions à réaliser, je souhaiterai vivement","performante dans les actions à réaliser, je souhaiterai vivement",eval2011-32_5
changer de compagnie d'assurance. Ayant entendu beaucaip de,changer de compagnie d'assurance. Ayant entendu beaucoup de,eval2011-32_6
bien de votre compagnie C'est donc tout naturellement que je me,bien de votre compagnie c'est donc tout naturellement que je me,eval2011-32_7
pourne vois vous.,tourne vers vous.,eval2011-32_8
"Sivos prix sont attractifs et vos contrats attrayants, vous","Si vos prix sont attractifs et vos contrats attrayants, vous",eval2011-32_9
"Je vous prie par retour de courrier, de bien vouloir me faire","Je vous prie par retour de courrier, de bien vouloir me faire",eval2011-33_0
parvenir vos tarifications et conditions d'adhésion concernant vos contrats,parvenir vos tarifications et conditions d'adhésion concernant vos contrats,eval2011-33_1
d'assurance habitation de votre compagnie.,d'assurance habitation de votre compagnie.,eval2011-33_2
"Devant demenager sous peu, je propecte afin de trouver la","Devant demenager sous peu, je prospecte afin de trouver la",eval2011-33_3
meilleure proposition pour mon apopartement.,meilleure proposition pour mon appartement.,eval2011-33_4
"Le prendrais ma décisior, à réception des différentes offres que","Je prendrais ma décision, à réception des differentes offres que",eval2011-33_5
je recevrais de la part des agences contrachées. Il est primerdial pour,je recevrais de la part des agences contractées. Il est primordial pour,eval2011-33_6
ma de comptes sur votre réponse.,moi de compter sur votre réponse.,eval2011-33_7
"Veuillez agréer Madame, Monsieur, l'expression de mes sentiments","Veuillez agréer Madame, Monsieur, l'expression de mes sentiments",eval2011-33_8
distingués.,distingués.,eval2011-33_9
Je souhaiterais obtenir des précisions concernant ma précédente,Je souhaiterais obtenir des précisions concernant ma précédente,eval2011-34_0
"facture, le montant m'en paraitant trop élévé.","facture, le montant m'en paraitant trop élévé.",eval2011-34_1
"En attendant votre réponse, je vous prie d'agréer, madame,","En attendant votre réponse. Je vous prie d'agréer, madame,",eval2011-34_2
"monsieur, l'expression des mon profond respect.","monsieur, l'expression de mon profond respect.",eval2011-34_3
de montant de mes factures devient,Le montant de mes factures devient,eval2011-35_0
nop élovces. Pouvez-vous echelonner,trop elevées. Pouvez-vous échelonner,eval2011-35_1
mes factures sur plusiours mois,mes factures sur plusieurs mois,eval2011-35_2
caur j'ai des difficultés de paiment,car j'ai des difficultés de paiment,eval2011-35_3
cur je dais finarneur mon mariage,car je dois financer mon mariage,eval2011-35_4
messi de votre collaboration,merci de votre collaboration,eval2011-35_5
Je vous adresse le présent carrier afin de vous informer à noueu,Je vous adresse le présent courrier afin de vous informer à nouveau,eval2011-36_0
de mon changement de données possonndles.,de mon changement de données personnelles.,eval2011-36_1
"Ea ottendant son effesinté, je vous prie d'agréer, l'expresion de","En attendant son effectivité, je vous prie d'agréer, l'expression de",eval2011-36_2
mon profond respert.,mon profond respect.,eval2011-36_3
Je me permets par la présente de vous,Je me permets par la présente de vous,eval2011-37_0
redonner mes nouvelles coordonnées téléphoniques,redonner mes nouvelles coordonnées téléphoniques.,eval2011-37_1
-joint mon nouveau numéro 06.17.22.37.27,Ci-joint mon nouveau numéro 06.17.27.32.27,eval2011-37_2
ainsi que mes nouvelles données bancaires.,ainsi que mes nouvelles données bancaires.,eval2011-37_3
Sincères salutations.,Sincères salutations.,eval2011-37_4
Avant marché accidentelle ment sur le chien de,¤Ayant¤ marché accidentellement sur le chien de,eval2011-38_0
nd Dihois. Je souhaiterais être couut titre de la resoomsbilité,Md Dubois je souhaiterais être couvert au titre de la responsabilité,eval2011-38_1
"cirile, sous réfirence UGPON 2","civile, sous référence VGPQN28.",eval2011-38_2
"Constant sur votre commréhension, veuillez recevoir",Comptant sur votre compréhension. veuillez recevoir,eval2011-38_3
mes sinutés salitation,mes sincères salutations,eval2011-38_4
"Par la présente, je vous demande de bien vouloir","Par la présente, je vous demande de bien vouloir",eval2011-39_0
prendre les mesures nécessaires afin de mettre fin,prendre les mesures nécessaires afin de mettre fin,eval2011-39_1
salutations distinguées.,salutations distinguées.,eval2011-39_10
au contrat d'assurance auto n° 585V18 SouScrit,au contrat d'assurance auto n° 585 V 18 souscrit,eval2011-39_2
au nom de 0Ry Pascale (Référence client :EXOXU51).,au nom de ORY Pascale (Référence client : EXOXU51).,eval2011-39_3
"Conformément aux conditions générales de vente,","Conformément aux conditions générales de vente,",eval2011-39_4
"le préavis étant de 1 mois, le contrat devrait","le préavis étant de 1 mois, le contrat devrait",eval2011-39_5
prendre fin à compter du 26 Maro 2007.,prendre fin à compter du 26 Mars 2007.,eval2011-39_6
Merci de me faire parvenir une notification,Merci de me faire parvenir une notification,eval2011-39_7
